|review|airline
0|"Very average in flight service, no difference from competition. On line service is abysmal: my flight was canceled due to COVID19 and 6 weeks after I requested a refund I am still waiting. The excuses I was served on the phone were: ""covid/delays/lots of work/etc..."". I had to do the same with British Airways for another ticket: I got my refund in 3 days! Guess where I'll go for my next ticket?!
Also when I asked for my refund on the French website (airfrance.fr) I received an email asking me to make this request from the US website where apparently I had bought my ticket: well.... BA again: I had bought my ticket in the US, the person I got on the phone was in the UK and I still got a refund IN 3 DAYS! Despite BA's 12,000 layoffs! Air France, are you paying attention??"|air-france
1|"I have not flown Air France for years and saw the negative Yelp reviews of their Service.

I found business class to be superb ( and the price very reasonable for what you get).

Their lounges range from good to excellent.

The planes are not brand spanking new ( I believe they were Boeing 777). On the way over they had only biz and economy and on the way back they had first class which looked really nice. The seating for business class is excellent  1-2-1. We had the windows and it is very private and peaceful.

The business class seats are very comfortable and lie flat. Plenty of cushion and excellent width to sleep.

Entertainment is okay not fantastic but they have enough movies to entertain you ( not a lot of new releases but some).

Food was excellent. Great selection of entrees, wines, and constant nibbles. Nice breads and cheeses ( what do you expect from France?)

Everyone of the stewards was pleasant and helpful.

Luggage got to where it needed to be.

I would definitely fly them again"|air-france
2|Ghetto. Absolutely trash. Do not book with air france it's a waste of time. All air france employees are trained to cause problems and problems only. Disgusting will never fly with this airline ever again. You better flying with Spirit Airlines.....|air-france
3|"The review is for incompetence of call center booking agents at Air France.
I was trying to buy a ticket for me and and extra seat for my oversized musical instrument (cello). I called probably five or six times and waited for 24 hours for the request t one approved. Every time my request was denied because the codeshare air company and Air France were not able to agree on the terms of how to PROPERLY submit the cabin baggage request through the system... WTH?!
Every time I would call again to check on the status of the request, an incompetent agent would erase the reservation and made a new one creating more confusion.
C'mon Air France, it cannot be that hard to book an extra seat for the cello!
I'm flying with the different company!"|air-france
4|"It's been a while since I flew Air France long-haul last time, but I enjoyed the overall experience.  The check-in counter lady was polite and very friendly, and went though all the details including TSA pre-check eligibility, AF lounge, connection at CDG, etc.

The lounge @ SFO was okay, and nothing to write about...

The aircraft was B777-300 which had the updated Business Class seats with 1-2-1 setting (solo seats at window, 2 seats in the middle).  Selecting the small cabin with only 4 rows just behind the La Premiere section was perfect - more private than the second cabin.

The service was great - probably being served by 3-4 professional and friendly crew.  All was done in polished style.  Since they didn't have a printed menu (I was told they failed to load before leaving CDG), the crew explained four different options in detail along with his recommendations.  Glad to go with beef tenderloin (not over-cooked which is uncommon as airline food)...it was served with Edmond Fallot mustard selection which made me happy!

The breakfast was also served as individual pace - based on the timing when you wake up.  It was not like they wake you up when they decide to serve breakfast at most US carriers even on Business Class so that crew can cleanup way before landing and they can relax... ;)"|air-france
5|"We upgraded two seats to business class and while boarding, we found a dirty fork on the seat. We almost sat on it. Plus, the seat and tray were dirty. This is truly unacceptable.

We were only offered an apology until I fought the issue for weeks. Then we were offered only one hundred. That's not fair at all."|air-france
6|Second time this year flying with Air France and have been pleased both times. Flight attendants' demeanor is respectful and pleasant--they act as though it's their pleasure to serve you. Food is always good; alcoholic drinks are complementary (I always go with bubbly bc flying to Paris is always cause for celebration). Lastly-they are always on time, or early.|air-france
7|I have been trying to get a refund for over 3 months now.  Process is terrible. I received an email on 10 June saying they would process my refund. I put in the request on 6 May.  All other airlines and hotels have refunded me over a month ago.  Ridiculous and I will not bother with this airline in future.|air-france
8|"I am convinced that Air France ""customer care"" agents go out of their way to show customers that Air France does not believe in ""customer service"" and if they can screw you out of money, they will do it with pleasure.  In October 2019,  I flew to Paris from Marseille and my new baby stroller did not make it with the rest of my luggage.  I made a report and AF promised to deliver the stroller the next day.  2 days and many phone calls later, the AF agent told me that I could buy a new baby stroller for up to 100 euros since we had no way to tour Paris without a stroller for my 18 month old. I bought the cheapest stroller for 40 euros.  2 weeks later, back in Marseille, I received a dirty, torn up stroller.  When I filed a claim, the agent rejected it stating: ""We normally advise our customers to rent a stroller while it is delayed.""????  July 2020 I decided to give AF another chance.  We flew from Paris to Chicago on an almost empty flight.  We checked 6 pieces of luggage, 2 1/2 hours before departure...and still AF managed to lose my luggage!  I immediately filed a report and spoke to 3 agents on the phone regarding reimbursement.  They all said I was eligible for reimbursement, I simply needed to submit my receipts online.  Not one mentioned a deadline.  Despite many difficulties during our trip, including a sick child, I submitted my reimbursement claim 26 days after I received my luggage. I  immediately received a response from the ""customer care"" agent that the deadline was 21 days, so Air France would not give me any compensation for having to spend the the first 4 days of my vacation without my luggage. She didn't even pretend to care or try to fix my problem because she didn't care."|air-france
9|"I flew air france business class to CDG from SFO non stop using an airbus. Everything went smooth with the exception of the boarding area in SFO where passengers started to pack near the door entrance to the ramp when it was time to board and it almost seemed chaotic with no clear indication where you were supposed to go based on your seating/class. There was alot of ""excuse me,coming through"" to get through the crowded area. The business cabin itself was decent with almost pod like set up for your seat. I liked the lie flat seats and lovely food served during the flight. Although it was a bumpy ride with lightning seen over the horizon through my window, I was still able to catch some sleep before landing. The lavatory is the typical ones you would see in a plane, nothing fancy or bigger. I would definitely fly air france again."|air-france
